"station_id","station_name","latitude","longitude","collection_date","Dissolved Oxygen","Nitrate","Phosphate","pH","Turbidity","Temperature","Group","Color","YearRange","TotalSamples","StationSampleCount","MarkerSize"
"MS2","MS2",41.41611064,-81.87328297,2019-06-19,7.7,0.5,0.31,NA,20,23.4,"Rocky","#f69d01",2,1086,23,6.43874945699382
"MS2","MS2",41.41611064,-81.87328297,2019-06-19,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,23,6.43874945699382
"BC7","BC7",41.34993356,-81.77722933,2019-06-27,8.06,2.5,0.6,8.36,100,20.5,"Rocky","#f69d01",2,1086,25,6.5
"AC3","AC3",41.37498391,-81.83283236,2019-06-27,7.07,0.2,2.13,8.43,28,20.3,"Rocky","#f69d01",2,1086,52,7.16333076527839
"BC7","BC7",41.34993356,-81.77722933,2019-06-27,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,25,6.5
"AC3","AC3",41.37498391,-81.83283236,2019-06-27,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,52,7.16333076527839
"AC4","AC4",41.363,-81.819,2019-06-27,5.93,0,1.07,7.97,42,21.1,"Rocky","#f69d01",2,1086,12,6.03923048454133
"UEB3","UEB3",41.2177,-81.7066,2019-06-28,6.25,0.5,1.14,8.2,20,21.5,"Rocky","#f69d01",2,1086,91,7.86181760425084
"UEB2","UEB2",41.21754476,-81.7142186,2019-06-28,5.51,0.3,0.14,7.79,120,19.1,"Rocky","#f69d01",2,1086,99,7.98496231131986
"MS4","MS4",41.46,-81.822,2019-06-29,9,0,0.52,8.53,4.7,23.3,"Rocky","#f69d01",2,1086,57,7.26495033058123
"PC4","PC4",41.239,-81.818,2019-06-30,2.91,0.2,0.36,7.56,52.6,21.5,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC3","PC3",41.24695161,-81.83086455,2019-06-30,14.3,0.1,2.13,9.76,120,25.1,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC2","PC2",41.23399597,-81.81094233,2019-06-30,5.71,0.1,0.09,8.27,72.2,27.4,"Rocky","#f69d01",2,1086,117,8.24499614791759
"PC4","PC4",41.239,-81.818,2019-06-30,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC3","PC3",41.24695161,-81.83086455,2019-06-30,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"MS4","MS4",41.46,-81.822,2019-06-30,8.6,0,1.96,9,7.4,24.5,"Rocky","#f69d01",2,1086,57,7.26495033058123
"PC2","PC2",41.23399597,-81.81094233,2019-06-30,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,117,8.24499614791759
"MS4","MS4",41.46,-81.822,2019-07-06,3.7,0,2.28,NA,7.2,26.9,"Rocky","#f69d01",2,1086,57,7.26495033058123
"UEB2","UEB2",41.21754476,-81.7142186,2019-07-12,3.5,0.1,0.43,7.89,120,23.5,"Rocky","#f69d01",2,1086,99,7.98496231131986
"BC7","BC7",41.34993356,-81.77722933,2019-07-15,7.66,NA,2.62,8.36,100,22.2,"Rocky","#f69d01",2,1086,25,6.5
"BC5","BC5",41.34997887,-81.82612137,2019-07-15,6.53,0.2,2.57,8.62,76,21.3,"Rocky","#f69d01",2,1086,38,6.84932420089069
"AC3","AC3",41.37498391,-81.83283236,2019-07-15,6.54,0.2,1.29,8.76,30,21.8,"Rocky","#f69d01",2,1086,52,7.16333076527839
"BC7","BC7",41.34993356,-81.77722933,2019-07-15,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,25,6.5
"AC3","AC3",41.37498391,-81.83283236,2019-07-15,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,52,7.16333076527839
"BC5","BC5",41.34997887,-81.82612137,2019-07-15,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,38,6.84932420089069
"BC2.5","BC2.5",41.36301,-81.854031,2019-07-16,7.24,2.4,0.67,8.59,100,23.6,"Rocky","#f69d01",2,1086,57,7.26495033058123
"BC2.5","BC2.5",41.36301,-81.854031,2019-07-16,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,57,7.26495033058123
"MS3","MS3",41.47702412,-81.82999061,2019-07-24,NA,0.5,0.29,9.38,40.25,25.3,"Rocky","#f69d01",2,1086,105,8.07408522978788
"PC4","PC4",41.239,-81.818,2019-07-28,4.04,0.4,0.31,8.4,101,23.4,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC3","PC3",41.24695161,-81.83086455,2019-07-28,5.75,1.2,0.17,8.78,120,23.4,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC2","PC2",41.23399597,-81.81094233,2019-07-28,5.95,0.1,0.05,8.7,68.6,27.1,"Rocky","#f69d01",2,1086,117,8.24499614791759
"PC3","PC3",41.24695161,-81.83086455,2019-07-28,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
